compression_parsed_files,Infinity
compression_parsed_lines,NaN
compression_vertices_ante_computation,NaN
compression_vertices_post_computation,NaN
computation_collect_ops,0
computation_phase_seconds_1,0.003424467
computation_phase_seconds_2,0.00263432
computation_phase_seconds_3,0.002321077
computation_seconds,0.008395064
computation_signal_ops,0
git_clone_seconds,1.261950832
git_file_count,1
git_metadata_seconds,0.013573214
git_revision_count,1
git_url,git://github.com/songrotek/Deep-Learning-Papers-Reading-Roadmap.git
graph_edge_count,0
graph_vertex_count,0
parse_all_seconds,0.187096721
parse_chars,4592
parse_filter_ratio,NaN
parse_lines,0
parse_nodes_added,0
parse_nodes_ignored,0
persist_seconds,8.37907E-4
range_count_ante_computation,0
range_count_post_computation,0
range_count_uncompressed_ante_computation,0
range_count_uncompressed_post_computation,0
represented_files,0
represented_lines,0
vertex_count_ante_computation,0
vertex_count_post_computation,0
